PERMNO,betav
12623,1.52112
12623,1.52112
12629,1.47862
12641,2.10033
12641,2.10033
12644,0.48285
12644,0.48285
12645,0
12645,0
12645,0
12650,1.32399
12650,1.32399
12650,1.32399
12650,1.32399
12650,1.32399
12650,1.32399
12650,1.32399
12650,1.32399
12660,1.76929
12660,1.76929
12660,1.76929
12662,0.95424
12662,0.95424
12662,0.95424
12668,1.0012
12668,1.0012
12668,1.0012
12679,0.27201
12680,0.80076
12680,0.80076
12680,0.80076
12681,0.83591
12681,0.83591
12681,0.83591
12681,0.83591
12683,0.67465
12683,0.67465
12683,0.67465
12684,0.98264
12684,0.98264
12684,0.98264
12741,0.8149
12741,0.8149
12741,0.8149
12745,1.17472
12745,1.17472
12746,0
12746,0
12746,0
12746,0
12747,0.62852
12747,0.62852
12747,0.62852
12748,0.36198
12748,0.36198
12751,0.81823
12756,1.42138
12756,1.42138
12759,0.92598
12759,0.92598
12759,0.92598
12759,0.92598
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12781,0.60166
12783,1.63765
12786,1.06288
12786,1.06288
12788,1.5499
12788,1.5499
12788,1.5499
12788,1.5499
12788,1.5499
12789,1.4777
12789,1.4777
12789,1.4777
12796,1.63044
12796,1.63044
12828,0.44175
12828,0.44175
12839,1.15169
12839,1.15169
12839,1.15169
12839,1.15169
12840,0.42399
12840,0.42399
12840,0.42399
12872,1.82423
12873,0
12873,0
12877,1.28718
12877,1.28718
12877,1.28718
12877,1.28718
12877,1.28718
12892,0.82962
12892,0.82962
12895,0.75402
12895,0.75402
12895,0.75402
12895,0.75402
12905,2.78937
12905,2.78937
12906,2.04798
12906,2.04798
12906,2.04798
12906,2.04798
12908,0.81802
12908,0.81802
12946,1.05266
12946,1.05266
12957,0.83517
12957,0.83517
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12972,1.0993
12974,0.86459
12974,0.86459
12974,0.86459
12981,1.73807
12981,1.73807
12981,1.73807
12981,1.73807
12982,-0.35741
12994,-0.06984
13003,0.4635
13003,0.4635
13003,0.4635
13019,1.51253
13019,1.51253
13019,1.51253
13019,1.51253
13019,1.51253
13034,1.33368
13034,1.33368
13034,1.33368
13035,1.39709
13035,1.39709
13035,1.39709
13035,1.39709
13076,0.25887
13076,0.25887
13077,0.33011
13077,0.33011
13077,0.33011
13079,1.00787
13079,1.00787
13079,1.00787
13079,1.00787
