PERMNO,date,TICKER,PRC,RET
77007,20200831,IMBI,7.12,0.753695
77007,20200930,IMBI,5.8,-0.185393
77007,20201030,IMBI,5.46,-0.058621
77007,20201130,IMBI,5.9,0.080586
77007,20201231,IMBI,4.78,-0.18983
77012,20200131,POPE,120,0.297297
77012,20200228,POPE,109.51,-0.087417
77012,20200331,POPE,84,-0.223815
77012,20200430,POPE,97.1,0.155952
77012,20200529,POPE,,
77037,20200131,ODFL,196.23,0.033987
77037,20200228,ODFL,193.8,-0.012383
77037,20200331,ODFL,131.25999,0.017131
77037,20200430,ODFL,145.28999,0.106887
77037,20200529,ODFL,171.09,0.177576
77037,20200630,ODFL,169.59,-0.007891
77037,20200731,ODFL,182.82001,0.078012
77037,20200831,ODFL,202.17999,0.105896
77037,20200930,ODFL,180.92,-0.104412
77037,20201030,ODFL,190.37,0.052233
77037,20201130,ODFL,203.36,0.068236
77037,20201231,ODFL,195.17999,-0.039487
77057,20200131,NHI,84.38,0.035591
77057,20200228,NHI,81.73,-0.031405
77057,20200331,NHI,49.52,-0.380613
77057,20200430,NHI,55.06,0.111874
77057,20200529,NHI,55.49,0.00781
77057,20200630,NHI,60.72,0.11412
77057,20200731,NHI,62,0.02108
77057,20200831,NHI,62.25,0.004032
77057,20200930,NHI,60.27,-0.014096
77057,20201030,NHI,56.05,-0.070018
77057,20201130,NHI,64.66,0.153613
77057,20201231,NHI,69.17,0.0868
77069,20200131,NUM,14.41,0.022242
77069,20200228,NUM,14.2,-0.011485
77069,20200331,NUM,13.42,-0.051796
77069,20200430,NUM,12.98,-0.029471
77069,20200529,NUM,13.75,0.06275
77069,20200630,NUM,13.68,-0.001491
77069,20200731,NUM,13.99,0.026279
77069,20200831,NUM,14.07,0.009257
77069,20200930,NUM,14.18,0.011336
77069,20201030,NUM,14.1,-0.002045
77069,20201130,NUM,14.6,0.039078
77069,20201231,NUM,14.76,0.014452
77071,20200131,NUO,15.69,0.020032
77071,20200228,NUO,15.41,-0.015041
77071,20200331,NUO,14.73,-0.041272
77071,20200430,NUO,14.14,-0.037067
77071,20200529,NUO,14.96,0.061103
77071,20200630,NUO,15.01,0.006283
77071,20200731,NUO,15.26,0.019587
77071,20200831,NUO,15.25,0.002228
77071,20200930,NUO,15.03,-0.011541
77071,20201030,NUO,15.2,0.014571
77071,20201130,NUO,15.6,0.02954
77071,20201231,NUO,15.655,0.008532
77073,20200131,NTX,14.8,0.035904
77073,20200228,NTX,,
77078,20200131,TOT,48.59,-0.108061
77078,20200228,TOT,43.14,-0.112163
77078,20200331,TOT,37.24,-0.119148
77078,20200430,TOT,35.15,-0.056122
77078,20200529,TOT,37.58,0.069132
77078,20200630,TOT,38.46,0.043871
77078,20200731,TOT,37.66,-0.020801
77078,20200831,TOT,39.57,0.050717
77078,20200930,TOT,34.3,-0.113473
77078,20201030,TOT,30.33,-0.115743
77078,20201130,TOT,42.14,0.389383
77078,20201231,TOT,41.91,0.013714
77090,20200131,ATNI,57.87,0.044773
77090,20200228,ATNI,53.9,-0.068602
77090,20200331,ATNI,58.71,0.092393
77090,20200430,ATNI,62.12,0.058082
77090,20200529,ATNI,59.4,-0.043786
77090,20200630,ATNI,60.57,0.022559
77090,20200731,ATNI,57.63,-0.048539
77090,20200831,ATNI,58,0.00642
77090,20200930,ATNI,50.14,-0.132586
77090,20201030,ATNI,44.7,-0.108496
77090,20201130,ATNI,48.94,0.094855
77090,20201231,ATNI,41.76,-0.143237
77114,20200131,WRLD,86.47,0.00081
77114,20200228,WRLD,78.1,-0.096797
77114,20200331,WRLD,54.61,-0.300768
77114,20200430,WRLD,67.85,0.242446
77114,20200529,WRLD,66.5,-0.019897
77114,20200630,WRLD,65.52,-0.014737
77114,20200731,WRLD,74.3,0.134005
77114,20200831,WRLD,90.99,0.22463
77114,20200930,WRLD,105.55,0.160018
77114,20201030,WRLD,83.99,-0.204263
77114,20201130,WRLD,112.91,0.344327
77114,20201231,WRLD,102.22,-0.094677
77117,20200131,WNC,11.6,-0.210347
77117,20200228,WNC,10.98,-0.053448
77117,20200331,WNC,7.22,-0.342441
77117,20200430,WNC,8.2,0.146814
77117,20200529,WNC,9.55,0.164634
77117,20200630,WNC,10.62,0.112042
77117,20200731,WNC,11.39,0.080038
77117,20200831,WNC,12.21,0.071993
77117,20200930,WNC,11.96,-0.013923
77117,20201030,WNC,14.26,0.192308
77117,20201130,WNC,17.68,0.239832
77117,20201231,WNC,17.23,-0.025453
77120,20200131,HMN,43.01,-0.014888
77120,20200228,HMN,38.93,-0.094862
77120,20200331,HMN,36.59,-0.052402
77120,20200430,HMN,35.16,-0.039082
77120,20200529,HMN,36.52,0.03868
77120,20200630,HMN,36.73,0.013965
77120,20200731,HMN,37.58,0.023142
77120,20200831,HMN,39.06,0.039383
77120,20200930,HMN,33.4,-0.137225
77120,20201030,HMN,33.91,0.015269
77120,20201130,HMN,39.92,0.177234
77120,20201231,HMN,42.04,0.060621
77124,20200131,DTF,15.205,0.030068
77124,20200228,DTF,15.2,0.002302
77124,20200331,DTF,13.95,-0.079605
77124,20200430,DTF,13.44,-0.033692
77124,20200529,DTF,14.22,0.061012
77124,20200630,DTF,14.22,0.002813
77124,20200731,DTF,14.3693,0.013312
77124,20200831,DTF,14.36,0.002136
77124,20200930,DTF,14.44,0.008357
77124,20201030,DTF,14.21,-0.013158
77124,20201130,DTF,15.045,0.061576
77124,20201231,DTF,14.9,-0.006968
77129,20200131,KIM,19.05,-0.080155
77129,20200228,KIM,17.35,-0.089239
77129,20200331,KIM,9.67,-0.442651
77129,20200430,KIM,10.91,0.157187
77129,20200529,KIM,11.11,0.018332
77129,20200630,KIM,12.84,0.155716
77129,20200731,KIM,11.15,-0.13162
77129,20200831,KIM,11.99,0.075336
77129,20200930,KIM,11.26,-0.052544
77129,20201030,KIM,10.26,-0.08881
77129,20201130,KIM,14.44,0.407407
77129,20201231,KIM,15.01,0.050554
77131,20200131,VKQ,13.02,0.057354
77131,20200228,VKQ,12.61,-0.027734
77131,20200331,VKQ,11.7,-0.068287
77131,20200430,VKQ,11.17,-0.04112
77131,20200529,VKQ,11.68,0.050036
77131,20200630,VKQ,11.76,0.011036
77131,20200731,VKQ,12.42,0.060281
77131,20200831,VKQ,12.36,-0.000894
77131,20200930,VKQ,12.01,-0.024361
77131,20201030,VKQ,12.01,0.00433
77131,20201130,VKQ,12.7,0.061782
77131,20201231,VKQ,12.82,0.013543
77152,20200131,MYD,15.12,0.024022
77152,20200228,MYD,14.72,-0.022751
77152,20200331,MYD,12.71,-0.132745
77152,20200430,MYD,12.29,-0.028639
77152,20200529,MYD,13.13,0.072905
77152,20200630,MYD,13.59,0.039299
77152,20200731,MYD,14.18,0.047535
77152,20200831,MYD,13.74,-0.02708
77152,20200930,MYD,13.42,-0.019214
77152,20201030,MYD,13.24,-0.00924
77152,20201130,MYD,14.19,0.075982
77152,20201231,MYD,14.35,0.015222
77157,20200131,OI,12.62,0.057837
77157,20200228,OI,10.8,-0.140254
77157,20200331,OI,7.11,-0.341667
77157,20200430,OI,8.24,0.158931
77157,20200529,OI,7.66,-0.070388
77157,20200630,OI,8.98,0.172324
77157,20200731,OI,10.44,0.162584
77157,20200831,OI,10.88,0.042146
77157,20200930,OI,10.59,-0.026654
77157,20201030,OI,9.43,-0.109537
77157,20201130,OI,11.32,0.200424
