tic,ch,dltt,ebit,emp,fatd,tie
EFX,401.3,3379.5,503.3,11.2,,
EQT,4.596,5306.724,201.028,0.647,,
ERIC,4825.43,3837.736,2300.587,99.417,,
ESCA,5.882,0.475,9.275,0.468,,
ESP,1.463,0,2.653,0.16,,
NEU,144.397,700.852,337.321,2.118,,
ESCC,5.962,3.241,-1.481,0.096,,
KINS,32.392,30.652,-6.654,0.097,,
EXPD,1230.491,326.347,766.692,18.297,,
BOOM,20.353,20.924,78.558,0.741,,
IIIN,38.181,0,4.864,0.834,,
XOM,3089,30963,12766,74.9,,
FMC,339.1,3194.3,1070.4,6.4,,
NEE,600,37543,5622,14.8,,
FARM,6.983,91.998,-3.381,1.521,,
FDX,4881,34147,3122,506,,
RUSMF,16,539.2,150.2,3.4,,
FNMA,21184,3440724,118401,7.5,,
FRT,127.432,3435.419,353.772,0.313,,
FSCR,0.199,21.243,3.418,0.221,,
FSS,31.6,241.9,150.4,3.6,,
M,685,6539,931,123,,
FOE,96.202,814.188,114.244,5.922,,
CLBS,14.032,0.624,-20.092,0.027,,
FITB,3278,13353,3888,19.869,,1457
FINGF,268,1591,442,13.188,,
RF,1598,6615,2912,19.564,,894
TRMK,358.916,98.151,265.776,2.844,,83.903
FCNCA,376.719,603.389,673.018,7.176,,92.642
FCIC,0.063,0,-0.054,0.002,,
MTB,1432.805,5363.104,3489.752,17.773,,749.329
USB,22405,37811,12143,69.651,,4442
FHN,633.728,517.204,972.968,5.017,,414.153
BDL,13.672,11.097,6.316,1.87,,
MALJF,69.637,70.768,94.146,4.2,,
FLXS,22.247,0,0.852,1.295,,
FPL1,77,14131,3536,8.9,,
DUK9,17,7759,1127,,,
FLO,11.044,1206.299,277.714,9.7,,
FLR,1997.199,1861.694,-586.47,50.182,,
FONR,13.882,0.273,22.134,0.5,,
F,17504,102408,5767,190,,
F1,9067,87751,7317,6.8,,
FSTR,14.178,65.556,26.809,1.33,,
FELE,64.405,110.926,129.852,5.4,,
BEN,,724.2,1589.4,9.597,,
FEIM,3.808,9.444,-10.922,0.22,,
FRD,17.058,0.372,-2.514,0.103,,
FUJIY,3681.06,5231.108,1733.883,73.906,,
FUL,112.191,1898.384,269.445,6.369,,
GATX,151,4862.7,315.5,2.165,,
AJG,604.8,4157,901.8,33.247,,
TGNA,29.404,4285.147,596.883,6.883,,
GPS,1364,6757,1041,129,,
AJRD,932.6,391.4,240.7,4.814,,
GAM,,,,,,
GD,,10548,4648,102.9,,
GE,36394,70403,8799,205,,
JOB,4.055,68.198,3.628,0.344,,
GIS,,11206,3024.9,35,,
ALLY,3555,25004,3610,8.7,,
GM,19069,66934,9570,164,,
SPXC,54.7,267.6,118.5,4.5,,
GCO,81.418,662.342,94.055,22.05,,
GNTX,296.322,,488.537,5.874,,
GPC,276.992,3627.623,1132.602,55,,
SO2,52,12073,2461,6.938,,
GTY,21.781,495.1,71.615,0.031,,
GIGA,0.657,1.135,-0.433,0.042,,
GLT,126.201,336.919,50.066,2.557,,
GSK,6233.951,31242.596,9768.774,99.437,,
GDRZF,61.822,0.17,-18.426,0.007,,
GV,23.272,29.39,11.165,0.536,,
GT,908,5421,824,63,,
GRC,,1.17,43.84,1.2,,
6283B,5.111,339.699,19.129,0,,
GRA,282.5,1983.5,433.8,4,,
GGG,220.973,188.474,424.456,3.7,,
GHM,32.955,0.137,1.269,0.337,,
GWW,360,2085,1388,25.3,,
GTN,212,3742,503,8.018,,
1737B,60.8,104,218.6,9,,
JFTSF,4.819,0,-3.112,,,
GEF,77.3,2665.6,452.5,17,,
MGI,146.8,898.1,63.3,2.252,,
GYRO,2.213,3.714,,0.004,,
HMG,15.382,0,-0.718,,,
HAL,2268,11265,2058,55,,
JHS,,,,,,
LHX,,2763,1157,18.2,,
HSC,57.259,812.472,116.858,10.5,,
HAS,4580.369,4159.839,669.828,5.6,,
AMOT,13.416,123.48,29.556,1.7,,
HVT,75.739,149.594,27.021,3.425,,
HE1,11.022,1515.114,254.378,2.67,,
HE,196.813,2279.046,337.912,3.841,,
HWKN,4.277,57.4,42.271,0.656,,
HCSG,27.329,11.649,87.379,51,,
WELL,284.917,14390.836,1273.253,0.443,,
STRL,45.733,397.603,53.899,2.8,,
HL,62.452,522.761,-36.727,1.622,,
HEI,57.001,561.049,459.727,5.9,,
KHC,2279,28670,5090,37,,
HELE,24.467,378.282,225.11,1.65,,
HP,347.943,479.356,-12.269,8.51,,
HMENF,1.179,33.038,4.772,0.008,,
HSY,493.262,3714.976,1716.582,16.14,,
HTZZ,865,16499,887,38,,
HPQ,4537,4780,4187,56,,
HXL,64.4,1104.2,425.2,6.977,,
CRAWA,2.232,22.567,10.511,0.271,,
HRC,214.1,1783.1,380.2,10,,
HLT,538,8993,1579,173,,
HTHIY,,9948.678,6151.189,301.056,,
HFC,885.162,2825.223,1463.288,4.074,,
HD,2133,33736,15843,415.7,,
HNI,52.073,234.253,153.913,8.5,,
HMC,,39229.865,5888.686,218.674,,
HRL,672.901,250,1140.595,18.8,,
CNP,241,14286,1477,14.262,,
HOV,182.266,1824.589,134.617,1.868,,
UBA,94.079,342.515,55.331,0.105,,
HUBB,182,1577.7,633.6,18.8,,
JBHT,35,1375.84,814.482,29.056,,
HBAN,1045,7779,2003,15.664,,988
HURC,56.943,0,22.54,0.785,,
HBP,2.2,166.7,-3.6,1.364,,
4300A,859.65,34030.558,4331.4,19.477,,
IEC,0,35.595,7.568,0.84,,
BVH,406.87,855.103,944.422,7.185,,45.782
ITT,612.1,88.9,433.8,10.5,,
RYN,68.735,1063.61,111.56,0.353,,
IDA,217.254,1736.659,298.326,1.993,,
ITW,1981,7882,3402,45,,
TLGT,15.508,188.625,-8.02,0.252,,
IMMU,608.628,267.734,-324.838,0.366,,
IMO,1718,5104,2183,6,,
AEP2,2,3160.9,340.8,2.336,,
IEHC,7.76,0,3.286,0.229,,
TT,1303.6,5317.3,2235.5,50,,
RYI,11,1064.1,191.1,4.5,,
AEGN,64.874,299.882,64.315,4.9,,
GFF,72.377,1093.749,133.619,7.3,,
INTC,4194,25683,22428,110.8,,
INS,26.415,0.46,13.382,0.53,,
INRD,0.951,3.082,-0.622,0.058,,
ITDN,0.1,0,-0.03,0.002,,
TILE,81.301,658.68,143.85,4.335,,
IBM,8172,57981,10849,352.6,,
IFF,606.823,4253.33,784.131,13.668,,
NAV,1370,4317,884,12.3,,
IDCC,745.491,374.73,51.735,0.487,,
IP,511,9901,2545,51,,
ENB,648,60350,8683,11.3,,
IPG,1192.2,4201.5,1119.9,54.3,,
IVC,80.063,258.004,2.006,3.9,,
AES4,48.152,2092.43,296.752,1.206,,
AXE,79.6,1278.8,380,9.4,,
J,631.068,1201.245,760.086,52,,
EME,358.818,499.089,462.415,36,,
SRL,60.348,27.948,-14.853,0.08,,
LUK2,5567.903,6263.648,1796.671,3.815,,
GPU3,0,1725,279,,,
JNJ,17305,27210,21121,132.2,,
JCI,2805,6708,1223,104,,
KLAC,1015.994,3173.383,1429.573,10.02,,
KMI,185,32204,3928,11.086,,
PNRG,1.015,53.5,4.038,0.173,,
KAMN,471.54,198.798,63.618,2.935,,
KCLI,14.234,0,29.45,,,
KSU,148.8,3313.7,1050.1,7.04,,
EVRG,23.2,8895.8,1217.7,4.617,,
K,397,7628,1757,31,,
KELYA,25.8,45.4,90.8,447.7,,
KMT,182.015,592.474,345.7,10.395,,
AEP4,0.849,810.707,86.686,,,
KEQU,4.365,7.893,-1.677,0.912,,
KTCC,0.601,30.447,6.49,4.067,,
KBAL,73.196,0.136,52.958,3.127,,
KMB,,6487,3296,40,,
KEX,24.737,1509.208,239.074,5.7,,
KMTUY,2301.212,4167.787,2372.902,62.823,,
KOSS,2.228,2.582,0.434,0.034,,
KR,399,18616,2646,435,,
KUBTY,,4752.035,1922.299,41.027,,
KLIC,364.184,14.207,23.224,2.614,,
KYOCY,3899.726,713.896,1014.531,75.505,,
LYTS,0.966,39.541,4.028,1.065,,
LXU,22.791,461.038,-29.187,0.593,,
LZB,261.553,270.162,141.265,9.5,,
SR,5.8,2082.6,302.7,3.536,,
LRCX,3658.219,3822.768,2483.25,10.7,,
LANC,196.288,1.951,176.387,3.2,,
LAWS,5.495,11.775,9.066,1.77,,
LEE,8.645,429.391,81.707,2.954,,
LEG,247.6,2188.1,523,22,,
