tic,ch,dltt,ebit,emp,fatd,tie
IEF,,,,,,
CIT,2685.6,6701.7,955.5,3.609,,
CSEAF,32.368,417.847,64.287,1.845,,
KOOYF,8.711,0,-2.568,,,
INITF,,,,,,
ISARF,,,,,,
SHY,,,,,,
HNNA,24.687,13.048,16.021,0.021,,
CJCFF,2.46,0,-3.234,,,
DKS,69.334,2677.446,442.178,41.6,,
HPI,,,,,,
MMLP,2.856,587.161,43.741,0,,
GALT,47.48,0.052,-13.438,0.007,,
EIM,,,,,,
ENX,,,,,,
EVM,,,,,,
SVA,152.718,7.194,68.168,1.043,,
HOSSQ,121.49,24.219,-107.161,1.157,,
CRI,214.311,1259.044,400.872,20.3,,
PFS,131.555,320.055,195.528,1.015,,73.497
TCBI,161.817,491.422,596.824,1.738,,385.592
PRAA,119.774,2583.199,247.687,4.412,,
SAIA,0.248,203.264,152.183,10.4,,
NGS,11.592,0.415,0.156,0.27,,
ABAKF,,,,,,
JPS,,,,,,
XEC,94.722,2188.167,-19.171,0.987,,
NBW,,,,,,
NBO,,,,,,
NBH,,,,,,
NKG,,,,,,
POROF,0.47,0.018,-6.329,,,
OTRK,13.61,33.666,-20.014,0.395,,
TFII,,2053.749,449.716,17.15,,
BFC,33.817,68.711,47.944,0.284,,19.498
NRP,98.265,473.928,-2.266,0,,
SUWN,1.138,0,-0.443,0.249,,
STX,2220,4253,1465,40.5,,
SPEU,,,,,,
FEZ,,,,,,
IUSPF,,,,,,
MAAL,2.131,8.014,0.942,,,
BYM,,,,,,
BSE,,,,,,
BAF,,,,,,
PMX,,,,,,
PZC,,,,,,
PYN,,,,,,
TWIRF,0.907,81.923,2.014,0.42,,
ADRA.,,,,,,
NEPH,4.166,1.512,-3.291,0.025,,
PKBK,10.082,38.447,46.612,0.101,,22.655
NKX,,,,,,
NRK,,,,,,
NEA,,,,,,
TNGMF,0.062,0,-0.35,,,
HPF,,,,,,
HALO,120.179,383.045,-39.209,0.132,,
TS,1554.299,233.198,831.225,23.2,,
PSTI,4.106,0,-35.532,0.165,,
EIFZF,22.055,1120.732,158.788,4.85,,
FMN,,,,,,
FBMS,89.736,91.843,80.466,0.697,,26.723
PTY,,,,,,
BIMI,0.036,0,-1.713,0.11,,
MOH,2452,1516,1050,10,,
ORSUF,1.387,0,-3.104,,,
FFC,,,,,,
TLKGY,266.405,778.312,169.603,15.099,,
PMGYF,0,78.87,-78.063,0.054,,
EZA,,,,,,
TKRFF,6.862,0,-2.768,,,
APYRF,208.914,2281.159,251.245,0.305,,
MTLCF,0.004,0,-0.169,,,
EAD,,,,,,
NPRUF,4.38,1901.726,201.035,0.937,,
YOOIF,1.57,0.248,-0.02,,,
HSON,31.19,0.16,-1.176,0.39,,
RSRBF,13.599,6.255,20.055,,,
AXS,1241.109,1424.054,430.897,1.667,,
NCV,,,,,,
JPC,,,,,,
MBPFY,163.59,2038.11,389.91,46.086,,
EEM,,,,,,
EFSI,10.92,3.68,19.537,0.191,,4.239
FCCN,0.001,0,-0.179,0.001,,
PHK,,,,,,
PWC,,,,,,
RSP,,,,,,
AVK,,,,,,
CPNFF,1.945,0.222,-10.51,,,
OLGRF,13.754,1.038,9.751,0.223,,
OPHC,2.111,16.641,0.707,0.019,,2.046
BCLI,0.536,1.103,-23.001,0.032,,
LBSR,0.025,0,-0.468,0.005,,
NTGR,190.208,25.434,28.664,0.809,,
CSQPF,7.946,117.454,-1.927,1.555,,
HYT,,,,,,
CHY,,,,,,
KEYUF,9.314,2848.455,609.921,1.074,,
GHIFF,15.4,23.2,22.2,0.679,,
BZRD,0,0,-0.015,0.001,,
FVL,,,,,,
QEP,166.3,2060.4,202,0.248,,
SJI1,2.678,547.328,147.494,0.45,,
PRKA,3.788,1.153,1.657,0.06,,
HPS,,,,,,
BORT,6.914,5,11.009,,,4.622
RNP,,,,,,
OGEN,18.268,0.671,-15.877,0.007,,
ERC,,,,,,
INGXF,156.224,4398.115,219.124,0.41,,
JQC,,,,,,
GOOD,6.849,632.441,34.156,0,,
MODV,61.365,14.547,28.995,3.8,,
CRHM,6.569,68.435,15.864,0.155,,
NUVSF,0,638.936,-73.228,0.088,,
5168B,0.019,0.021,-0.047,0.017,,
MHI,,,,,,
QTEYF,15.037,0.018,0.247,0.008,,
REEMF,5.664,0,-2.13,0.001,,
POM3,30,2913,361,1.389,,
ATSG,46.201,1500.011,177.37,4.38,,
BLRZF,0.165,0,-2.669,,,
YLWDF,44.408,153.655,122.236,0.768,,
BLW,,,,,,
NHS,,,,,,
NCZ,,,,,,
EHI,,,,,,
MNE,,,,,,
MUI,,,,,,
CRDF,10.196,0.861,-16.678,0.014,,
WLL,8.652,2848.245,76.183,0.505,,
LKQ,523.02,4852.986,1001.683,51,,
GRP.U,298.677,1219.42,215.602,0.046,,
OLVRF,0.294,0,-1.256,,,
BREUF,5.202,122.321,16.591,0,,
MEQYF,0.07,898.645,73.519,0.384,,
CIDM,14.294,0.684,-4.349,0.072,,
FAO.,,,,,,
NNI,133.906,20562.743,923.55,6.6,,
AHT,262.636,880.385,88.913,0,,
OMQS,1.615,1.395,-2.864,0.061,,
PFL,,,,,,
PMCB,0.895,0.047,-3.827,0.004,,
FTF,,,,,,
FLC,,,,,,
FVD,,,,,,
TRCK,6.897,0,1.154,0.166,,
CNP6,216,4720,618,2.768,,
TXU3,4,8083,1212,4.165,,
SCBH,6.605,2.153,39.218,,,5.019
CWEGF,0,350.712,17.314,0.071,,
XPER,74.551,348.093,-64.072,0.7,,
SNX,225.529,2718.267,885.215,240.9,,
MRLN,123.096,41.469,61.886,0.348,,
ALIAF,252.625,396.517,225.586,0.66,,
AEL,2293.392,658.381,360.505,0.608,,
GBLI,44.271,246.55,101.837,0.412,,
CHG1,,706.186,101.305,1.065,,
EXC2,303,5717,1316,13.082,,
BKK,,,,,,
BFO,,,,,,
EVT,,,,,,
AGG,,,,,,
JDD,,,,,,
WIA,,,,,,
ADES,12.08,23.244,-9.721,0.133,,
ONEQ,,,,,,
WFTSF,2.598,0,-0.464,,,
CONN,5.485,1354.616,136.851,4.425,,
ACOR,62.085,241.265,-116.605,0.344,,
UTI,65.442,39.161,-2.145,1.67,,
GXP1,2,2614.1,426.5,,,
LG1,2.6,925,174.8,2.389,,
MGEE1,3.196,541.613,111.792,0.731,,
IYT,,,,,,
PEG3,21,2496,464,2.033,,
PNM1,1.001,1499.077,62.972,0.915,,
PSD1,44.004,4511.28,522.615,3.13,,
SO6,279,3950,375,0.46,,
PDPTF,2.038,0.013,-1.86,,,
MAV,,,,,,
TPX,64.9,1708,375.6,7.4,,
HTH,485.353,403.81,408.123,4.95,,
FRA,,,,,,
NRO,,,,,,
AIZ,1867.1,3686.4,906.3,14.2,,
CMP,34.7,1411.1,168.7,3.131,,
DVY,,,,,,
MJNA,5.802,12.261,1.421,0.091,,
CWSRF,,2218.717,56.176,15.349,,
FNNCF,,,,,,
ISBA,20.311,190,21.678,0.358,,17.861
KRO,390.8,466.2,142.9,2.2,,
VST,300,10221,2138,5.475,,
TCOM,2861.266,2913.399,723.825,44.3,,
NMZ,,,,,,
OXSQ,14.41,106.303,48.381,0,,
CPXGF,26.08,1886.243,144.204,13,,
EFR,,,,,,
GDV,,,,,,
MUNMF,2.745,0,-1.795,,,
PCB,17.808,19.99,41.066,0.256,,23.911
EMD,,,,,,
TIP,,,,,,
GMPXF,516.601,17.829,2.35,0.044,,
SRC,14.492,2156.292,244.966,0.085,,
MCHX,42.526,5.664,-6.962,0.291,,
SGQRF,9.292,116.448,38.223,0.471,,
CRM,4145,5450,503,49.703,,
MEIP,9.59,0,-46.245,0.04,,
VFF,15.55,41.104,-37.383,1,,
AGO,169,1367,542,0.441,,
NYMT,118.763,187.755,189.754,0.055,,
DYAI,4.824,0,-9.255,0.006,,
NWLNF.1,7.319,0,-1.118,0,,
BKOR,19.539,21.376,9.625,,,5.56
GNW,3341,3248,954,3.1,,
ITOT,,,,,,
MITJF,0.094,16.18,-1.821,,,
JTA,,,,,,
ETG,,,,,,
VCR,,,,,,
VBK,,,,,,
VBR,,,,,,
VO,,,,,,
VV,,,,,,
VUG,,,,,,
VTV,,,,,,
VB,,,,,,
CYTK,36.433,274.728,-98.867,0.156,,
TBBK,19.928,54.392,134.901,0.612,,38.281
SP,24.1,678.8,91,23.9,,
SMICY,2238.84,2385.11,-327.746,15.946,,
MKTX,270.124,97.991,261.045,0.527,,
BGS,11.315,1906.155,242.628,2.899,,
ARESF,42.455,2141.09,333.8,0.218,,
CHHHF,0.061,20.581,-2.107,0.652,,
ARSLF,0.019,0,-0.857,,,
ABR,299.687,3005.457,364.112,0.532,,
PLAG,7.403,0.374,-0.824,0.148,,
STON,34.867,373.465,-33.773,2.546,,
DPZ,190.615,4273.786,629.916,13.1,,
GSIT,51.506,0.142,-10.722,0.166,,
MA,6988,9183,9664,18.6,,
PSEC,,2159.793,470.09,,,
JFR,,,,,,
ETO,,,,,,
LGI,,,,,,
BIRMF,6.469,0,-1.317,,,
LVWHF,0.093,23.277,-4.887,,,
CII,,,,,,
ERH,,,,,,
GOOGL,18498,14768,36482,118.899,,
MNKD,29.906,116.385,-43.76,0.233,,
WTI,32.433,723.952,118.536,0.291,,
CRVW,0.27,71.434,-3.3,0.054,,
MORN,334.1,640.8,196.8,6.737,,
STXS,30.182,2.09,-4.827,0.118,,
TXRH,107.879,540.821,212.023,67.9,,
BWFG,78.051,33.46,28.163,0.157,,29.187
CWXZF,0,401.387,44.574,1.152,,
AGGZF,48.421,729.231,71.739,3.679,,
EXR,65.746,4752.838,652.494,4.048,,
NURO,3.126,0.917,-8.913,0.023,,
HTGC,64.393,1288.613,204.946,0.077,,
LBTYK,,24738.7,901.5,20.2,,
GLU,,,,,,
FCT,,,,,,
MICT,3.154,1.856,-3.869,0.044,,
FLMTF,0.005,0,-0.412,,,
CVGI,39.511,182.94,44.494,7.347,,
RTWIQ,60.63,189.998,-61.556,4.971,,
SYNE,0.871,5.835,-6.066,0.006,,
BECN,72.287,2580.193,180.201,8.147,,
SFL,199.521,2392.582,197.831,0.011,,
GOL,409.347,2615.88,451.114,16.222,,
INVA,278.096,377.12,249.46,0.006,,
PUMGF,1.245,0.078,-1.925,,,
HY,64.6,267,56.4,7.9,,
WLK,728,3800,693,9.43,,
MAIFF,1.762,0.101,-3.046,,,
DRH,122.524,1124.608,120.004,0.031,,
LPL,2889.546,10040.918,-1177.457,60.429,,
JVA,2.403,0,0.54,0.079,,
EFT,,,,,,
FEN,,,,,,
AVBH,13.068,34.121,21.891,,,7.308
MRTX,46.535,0,-222.104,0.111,,
SBNY,702.277,1750.85,918.871,1.472,,600.083
CCORF,997.111,296.436,133.835,2.308,,
CGAU,55.406,114.584,-76.261,3.638,,
VVI,61.999,106.549,84.904,5.361,,
TDCB,1.154,3,2.805,,,1.291
ILCV,,,,,,
ILCG,,,,,,
ILCB,,,,,,
CYCC,11.885,1.191,-9.682,0.012,,
GARWF,2.75,0.182,-7.999,,,
JOBS,329.585,7.29,173.171,8.65,,
TOPS,4.412,262.122,16.246,0.001,,
GDQMF,16.849,0,-2.123,,,
MFCSF,41.487,240.347,87.883,1.721,,
MPWR,172.96,1.103,102.562,2.002,,
ENS,326.979,1156.353,258.877,11.4,,
ORA,71.173,1037.148,195.279,1.408,,
GLV,,,,,,
MCN,,,,,,
JRO,,,,,,
CUBE,54.857,1965.365,243.191,3.011,,
DLR,89.817,10994.073,668.282,1.55,,
NNVC,2.555,0,-8.659,0.017,,
BCML,23.476,23.841,38.371,0.304,,8.732
ACC,54.65,3424.756,183.629,3.096,,
BBW,26.726,119.625,1.576,4.3,,
IWSH,7.336,0,-2.24,0.002,,
TEAR,7.108,0.429,0.275,0.04,,
CHCI,3.511,1.273,2.275,0.109,,
MIC,357,2974,255,3.4,,
BGT,,,,,,
ETOLF,0.969,3.15,-3.367,0.08,,
FFA,,,,,,
FDVA,0.927,33.338,7.663,,,6.752
RAMPF,42.28,217.103,45.198,0.128,,
IBIBF,15.628,156.854,39.042,2.779,,
BXC,11.643,652.141,36.296,2.2,,
CVALF,9.575,6.294,-7.776,,,
MNTX,23.36,40.151,3.538,0.598,,
LVS,4226,12727,3884,50,,
SOHO,23.738,352.02,18.915,0.013,,
KRNY,19.032,409.811,73.884,0.565,,82.02
CPFXF,0.374,0,-0.994,,,
PBIP,2.395,260.19,17.178,0.088,,19.289
JRJC,9.6,1.447,-12.15,0.493,,
PVBK,6.734,0,6.009,,,2.086
BFIN,9.785,5.846,24.444,0.242,,13.217
KYN,,,,,,
ARCC,,7092,1103,0,,
PBBI,2.173,40.145,8.482,0.113,,3.693
HURN,11.604,277.557,67.045,3.75,,
SIRZF,0.137,0,10.293,0,,
FNCSF,,,,,,
SBUDF,1.078,0.591,-6.983,0.019,,
FXI,,,,,,
ARC,29.425,126.342,14.768,2.3,,
HDIUF,15.118,83.726,48.493,1.351,,
BXMX,,,,,,
PFN,,,,,,
GFY,,,,,,
CNSL,12.395,2270.912,81.281,3.4,,
MOS,519.1,4652.5,452.2,12.6,,
CYRX,47.235,4.11,-7.847,0.122,,
MPW,1462.286,7101.964,576.501,0.086,,
EOI,,,,,,
MWSNF,18.906,0,-3.816,,,
RSCZF,0.014,0,-1.774,,,
DGLY,0.36,6.544,-12.033,0.119,,
CE,463,3590,1045,7.714,,
NP,9,211.2,84.8,2.324,,
INBK,5.061,476.04,33.791,0.231,,84.447
BCAL,9.898,35.015,14.674,,,6.843
RIT.,44.999,0,5.931,,,
PBH,94.76,1759.803,300.325,0.52,,
ULH,7.726,459.81,93.08,6.541,,
AT,74.9,559.4,43.9,0.266,,
GLD,,,,,,
DLB,797.21,0,293.635,2.193,,
SAGGF,0.434,0,-0.31,,,
WEX,810.932,2754.423,459.684,5,,
TGP,160.221,2800.003,289.004,2.009,,
FAM,,,,,,
XPEL,11.501,4.317,17.153,0.23,,
HUN,525,2561,459,10,,
LHCG,31.672,322.556,159.348,30.399,,
NCTY,1.453,0.898,-18.684,0.061,,
SCUPF,11.458,56.83,-3.168,0.351,,
EXLS,119.165,269.27,85.124,31.7,,
AMTX,0.656,193.962,-4.931,0.16,,
HPR,16.449,772.106,4.415,0.155,,
IFCZF,936,2823,897,16,,
OTEL,3.113,66.022,14.844,0.201,,
VELXF,0.097,0.35,-5.146,0.011,,
FFI.UN,0.32,0,7.131,,,
MCESF,52.286,23.387,41.336,,,
SWNLF,0.519,0.067,-1.568,,,
LAZ,1231.593,2323.907,565.348,3.018,,
AX,857.268,312.599,311.537,1.007,,156.282
DGPIF,0,130.369,3.195,1.2,,
XEBEF,22.358,3.871,4.49,0.16,,
BGR,,,,,,
PHD,,,,,,
FMO,,,,,,
SNSS,12.761,0.272,-23.288,0.024,,
TECTP,5.669,13.4,17.562,0.121,,6.202
HND1,2392,5415,1043,11.59,,
NM,77.991,1739.466,67.859,,,
TRIL,14.584,0.825,-32.581,0.029,,
RAIL,66.257,63.966,-45.102,0.496,,
NHHHF,0.003,0,-1.927,,,
GRVY,68.798,2.605,42.272,0.691,,
HFBL,1.004,1.06,8.761,0.058,,4.532
EOS,,,,,,
IAU,,,,,,
DOOO,,1836.8,576.5,13.5,,
CORE,14.1,555.5,95.6,8.555,,
DXCM,446.2,1146.5,149.8,3.9,,
KBRLF,5.301,101.025,19.401,2.7,,
MNOV,63.793,0.183,-14.031,0.008,,
MFMLF,0.026,0,-1.602,,,
CEQP,25.7,2375,201.8,0.899,,
INFO,111.5,4874.4,986.6,15.5,,
RLGT,5.42,32.5,23.501,0.708,,
ACR,79.958,1250.671,123.328,0,,
SQIDF,3.444,0.032,-7.346,0.042,,
MXGBF,678.871,10673.344,1946.728,17.7,,
FTU.,,,,,,
EQMEF,0.035,0,-0.688,,,
FAPPF,2.102,0,0.658,,,
CTF.UN,,,,,,
ZUMZ,52.428,284.717,85.807,9.195,,
MOST,0.071,0.594,-6.114,0.026,,
ZF,,,,,,
EVG,,,,,,
NFJ,,,,,,
BLDR,14.096,1514.346,405.406,15.8,,
CTRN,19.923,135.316,18.962,5.7,,
VQSLF,2.215,13.605,-3.666,,,
DSX,107.288,434.746,36.926,1.025,,
KFFB,1.87,0.514,2.922,0.064,,3.252
TNSGF,0.458,0,1.735,,,
KOP,33,983.6,136.8,2.12,,
WMG,619,2974,394,5.4,,
ALTO,18.997,201.966,-45.391,0.5,,
CEI,0.657,0,-5.027,0,,
ICE,841,5531,2727,5.989,,
IGD,,,,,,
GGN,,,,,,
BME,,,,,,
VPL,,,,,,
VWO,,,,,,
GXRFF,0.469,0,-0.576,,,
OTTW,5.273,9.068,5.606,0.07,,3.1
LINC,23.644,78.046,4.671,1.922,,
ITC1,4,5575,755,0.707,,
EVRI,289.87,1117.706,100.963,1.4,,
EGLE,53.584,418.369,4.578,0.974,,
ACWRF,4.381,0.04,-1.508,0.018,,
PIFYF,8.661,63.308,-51.791,0.086,,
ADRD,,,,,,
ADRE,,,,,,
ADRU,,,,,,
BNRJF,0.06,0,-0.745,,,
TLOFF,7.271,0,-3.446,0.009,,
CPS,359.536,806.413,40.75,28,,
GTT,41.8,3502.8,159.3,3.1,,
ETB,,,,,,
EVOGF,0.004,0,-0.068,,,
CLSPF,,,,,,
NSRCF,0.529,0,-3.289,0.004,,
NETE,0.487,8.59,-5.585,0.082,,
GLQ,,,,,,
ZNOG,4.845,3.043,-6.522,0.025,,
DIAX,,,,,,
MOBQ,1.24,2.3,-13.463,0.018,,
MRZLF,4.648,0,-5.918,,,
FSP,9.79,966.638,43.501,0.037,,
ATRC,28.483,74.204,-34.06,0.73,,
RUTH,5.567,287.292,52.461,5.74,,
XLG,,,,,,
WAL,185.977,471.675,756.769,1.835,,184.633
JRVR,206.912,280.587,57.865,0.8,,
GNK,155.889,422.809,-0.842,0.04,,
REXN,9.22,0.064,-11.205,0.005,,
GLP,12.042,1445.709,138.007,,,
CF,287,4150,926,3,,
SAHRF,0.635,0,-0.569,,,
CXP,,1479.426,10.225,0.093,,
CTSO,12.232,14.029,-18.974,0.153,,
ASGTF,60.262,63.753,40.609,2.5,,
THS,202.3,2250.2,263.3,10.8,,
FMY,,,,,,
BOE,,,,,,
PGP,,,,,,
GTE,8.301,700.459,107.616,0.362,,
LRAXF,2.07,0,-1.289,,,
CMPR,35.279,1070.422,184.911,13,,
CGJTF,1.6,574.5,56.6,1.126,,
OFLX,16.098,0.418,21.922,0.151,,
DVSPF,,,,,,
RPAI,9.989,1716.054,92.683,0.215,,
GAIN,2.778,178.36,50.171,0,,
PSI,,,,,,
PSJ,,,,,,
PBJ,,,,,,
PEJ,,,,,,
PBS,,,,,,
PXQ,,,,,,
PJP,,,,,,
PBE,,,,,,
AIMFF,98.6,4.3,-59,0.445,,
COLFF,0,67.502,9.131,1.254,,
ACDVF,2090,8024,1650,32.903,,
ETV,,,,,,
SIMO,323.166,5.621,73.1,1.237,,
CTARF,0.599,7.189,-30.162,0.093,,
SOACF,0.436,0,-2.693,,,
LEAT,2.073,0.22,2.022,0.049,,
BURG,0.501,14.383,-16.078,0.587,,
SSKN,8.129,1.078,-1.01,0.115,,
DISCA,1552,15634,3187,9.2,,
PZRIF,0.535,46.909,35.452,0,,
CRFQF,0.17,29.141,-0.542,0.043,,
ERILF,12.848,13.519,-12.625,,,
TROX,302,3050,282,6.66,,
ISBC,174.915,4476.938,380.609,1.793,,385.146
WSBF,52.814,478.88,68.835,0.824,,27.544
CNDCF,,,,,,
HGHAF,9.3,9.1,-9.4,0.735,,
OPBK,86.036,10.126,26.451,0.168,,14.507
CLRI,0.028,0.039,-0.308,,,
IRBT,239.392,54.928,87.084,1.128,,
QSR,1533,13136,2023,6.3,,
SPR,2350.5,3027.1,793.1,18.2,,
ACCO,27.8,867,211.4,7,,
ADXS,32.363,0,-17.029,0.035,,
BIDU,4802.957,9001.433,905.787,37.779,,
ATCO,195,3853.4,463.3,4.7,,
SCGY,0.084,0,-0.523,0.003,,
ROLL,103.255,39.979,157.031,3.89,,
NWPIF,7.109,142.532,9.721,3.3,,
AMSF,43.813,0.305,115.517,0.434,,
CLUBQ,18.808,542.374,1.25,9.2,,
FIE.,,,,,,
BCUFF,0.153,0,-0.295,,,
DONFF,0.044,0,-1.426,,,
HOMB,168.914,416.562,452.352,1.92,,154.771
VNQ,,,,,,
BKD,240.227,5264.322,18.163,58.4,,
CCO,398.858,6668.379,300.098,5.9,,
BDJ,,,,,,
MGU,,,,,,
GPM,,,,,,
HOLI,332.509,0.978,135.249,3.301,,
AMP,3827,4218,2243,12.5,,
CYDY,14.281,8.494,-74.646,0.019,,
MNSB,53.376,21.506,24.312,0.126,,19.377
CPAH,2.433,1.103,-0.801,0.076,,
CROX,108.253,345.148,142.325,3.803,,
LFGP,3.581,11.87,8.742,,,1.832
SPWR,422.955,980.175,-193.389,8.4,,
UAA,788.072,1173.322,236.77,16.4,,
GASS,68.465,325.248,23.188,,,
LDOS,668,3251,899,34,,
PID,,,,,,
PFM,,,,,,
HANNF,1.691,0,-1.16,,,
CORR,120.864,146.498,48.854,0.02,,
ZIOP,79.741,1.578,-57.858,0.073,,
ETW,,,,,,
VPU,,,,,,
VDE,,,,,,
VIS,,,,,,
VOX,,,,,,
VGK,,,,,,
VDC,,,,,,
VFH,,,,,,
VHT,,,,,,
VGT,,,,,,
VAW,,,,,,
FDM,,,,,,
MSIXF,9.469,551.011,87.033,6,,
DHT,67.356,752.828,138.868,0.017,,
FNF,1376,1280,1474,25.063,,
ARFXF,1.661,0,-7.396,0.001,,
FBIZ,16.107,218.47,45.65,0.288,,32.184
FFMGF,5.902,0.554,-6.573,0.022,,
SPGUF,0.176,0,0.005,0,,
DKLRF,0.493,0,-0.206,,,
PUI,,,,,,
PMR,,,,,,
PXJ,,,,,,
PXE,,,,,,
PKB,,,,,,
PPA,,,,,,
CGO,,,,,,
EGF,,,,,,
IGA,,,,,,
HPI.,0.008,0,-0.111,,,
MGYR,0.825,25.895,7.874,0.11,,6.71
DCP,1,5409,209,0,,
CTXXF,0.82,10.756,-0.211,0.058,,
SEED,0.447,0,-8.026,0.047,,
EQFN,3.15,5,5.59,,,3.053
ISVLF,3.773,0.067,-5.147,,,
VNWTF,19.834,1.729,-4.875,0.364,,
YGRAF,0,193.945,55.696,0.056,,
CHAPQ,22.595,422.309,-402.163,0.121,,
BGI,0.399,62.686,-4.399,0.365,,
URCFF,0.176,0,-1.982,,,
BPTH,20.426,0.33,-8.693,0.009,,
SDY,,,,,,
KCE,,,,,,
KIE,,,,,,
KBE,,,,,,
SLY,,,,,,
MDYG,,,,,,
MDYV,,,,,,
SPMD,,,,,,
SPLG,,,,,,
SBC.,,0,6.094,,,
SPXX,,,,,,
SSBI,38.299,19.347,12.911,0.093,,7.025
URG,7.752,12.227,-8.289,0.03,,
GLVMF,3.003,0,-0.422,,,
MXVDF,0,0,-0.012,,,
ET,291,51931,7351,12.812,,
MISVF,12.644,0.214,-62.429,0.01,,
VIAB,760,8640,2716,10.7,,
CPA,158.732,1145.015,435.497,8.877,,
SPHQ,,,,,,
PHO,,,,,,
FXE,,,,,,
EVK,48.551,8.537,3.468,4.5,,
SBLK,117.819,1380.457,75.878,0.181,,
LYV,2470.362,4645.743,349.271,25.9,,
AUSVF,0.047,0,-0.257,,,
PRF,,,,,,
UEC,6.058,19.6,-14.978,0.048,,
PBKOF,7.448,138.849,35.769,1.833,,
LQSIF,11.707,371.869,0.659,2.264,,
CLMT,19.1,1242.5,118.5,1.5,,
HEES,14.247,1335.803,188.144,2.432,,
MAMS,5.508,2.496,4.941,0.257,,
ESEA,0.985,72.188,1.975,0,,
CMG,480.626,2678.374,510.377,83,,
PERI,38.389,28.696,18.008,0.399,,
TX,519.965,1927.111,842.903,20.061,,
CHRRF,87.167,1669.107,200.463,4.91,,
SUNW,3.154,4.125,-8.329,0.178,,
ACAZF,7.601,0,22.233,0.078,,
FIS,1152,17695,1760,55,,
DBC,,,,,,
XBI,,,,,,
XHB,,,,,,
XSD,,,,,,
CRSWF,0.434,0,-0.793,,,
AIRI,,7.641,0.603,0.159,,
LSBK,7.884,29.351,8.602,0.116,,5.197
LQDT,36.497,0,-14.357,0.687,,
NEWP,27.85,0,-4.047,0.05,,
ITMSF,1.595,0.363,-3.409,0.069,,
KRA,35.033,1378.11,113.831,1.944,,
NEWRF,0.17,0,-0.2,,,
ISESF,,,,,,
AXU,6.841,1.04,-11.476,0.115,,
ALB.,0.02,0,1.223,,,
ABCAF,1.995,0.086,-4.744,0.017,,
SNNGF,0.084,4.645,-2.082,,,
CODI,100.314,471.4,95.695,4.114,,
PAC,397.644,756.124,425.122,1.524,,
BTA,,,,,,
KNWN,1.901,0.122,-5.013,0.011,,
VNDA,45.072,12.455,22.81,0.284,,
AVXL,22.185,0,-29.107,0.016,,
ASTI,0,0,-3.253,0.021,,
CESDF,0,385.865,73.05,1.993,,
MWA,176.7,445.4,145,3.1,,
RHE,4.383,94.625,5.462,0.017,,
IGC,7.258,0.485,-6.864,0.05,,
UURAF,2.813,1.126,-3.398,,,
RPV,,,,,,
RPG,,,,,,
RFV,,,,,,
RFG,,,,,,
RZV,,,,,,
RZG,,,,,,
ATEC,47.113,54.373,-46.927,0.227,,
CFST,13.082,0.633,16.535,0.056,,1.042
VG,23.62,542.88,25.286,2.264,,
DK,955.3,2175,496.5,3.814,,
FDL,,,,,,
AOREF,22.602,23.813,-1.033,,,
LUNA,25.006,2.011,5.431,0.267,,
CBLI,1.127,0,-2.361,0.012,,
SNCR,38.99,60.976,-97.764,1.659,,
CROMF,0,2050.477,259.6,0.31,,
SQBG,6.264,487.418,44.012,0.042,,
HBMD,12.992,97.748,39.728,0.307,,22.124
CETY,0.006,0.631,-1.454,0.012,,
SMME,0.011,0,-0.876,0.001,,
GFN,10.359,401.159,61.989,0.969,,
SUMXF,2.223,69.863,13.621,0.935,,
FMXVF,0.005,0,-0.227,,,
ELEEF,24.224,12702.091,955.757,2.5,,
PFPT,847.555,785.843,-101.628,3.368,,
BBH,,,,,,
OIH,,,,,,
PPH,,,,,,
RTH,,,,,,
SMH,,,,,,
YWRLF,1.282,0,-0.923,,,
MLIXF,0.276,0.37,-0.096,,,
DIGP,0.323,0.459,-1.842,0.018,,
GOGO,170.016,1180.068,36.724,1.115,,
ATUUF,0.142,0.194,3.612,,,
CUBI,33.095,676.103,190.412,0.867,,186.429
IEGCF,0.722,0.781,-1.477,,,
SLDGF,0.018,0,-0.164,,,
HTBI,40.909,301.88,56.054,0.582,,30.383
CGIX,3.88,0.117,-2.713,0.11,,
NMGGF,1.182,0.098,4.301,,,
TOGOF,0.056,0,-0.747,,,
SILO,0.112,0,-0.901,0.001,,
ORMP,3.329,0,-14.631,0.013,,
RINF,,,,,,
URTH,,,,,,
EELV,,,,,,
IDLV,,,,,,
ENOR,,,,,,
ATANF,0.087,0.156,-0.234,,,
RDUS,69.886,200.172,-112.229,0.428,,
POST,1050.7,7066,767.7,10.1,,
EFF.,0.124,0,-0.198,,,
BRFH,1,2.749,-5.187,0.017,,
GLOG,263.747,3087.54,294.479,0.163,,
PRO.,0.021,0,-0.064,,,
ULV.F,,,,,,
DBL,,,,,,
BTZI,0.025,0,-0.718,0.003,,
SPLK,778.653,1950.261,-263.435,5.8,,
FB,19079,9942,28986,44.942,,
VEGI,,,,,,
FILL,,,,,,
PICK,,,,,,
RING,,,,,,
SLVP,,,,,,
FELPQ,33.905,151.982,-21.515,0.856,,
DXM.,,,,,,
QXM.,,,,,,
UXM.,,,,,,
SSNT,8.658,1.399,-1.555,0.157,,
PRPRF,2.873,118.716,-26.374,0.039,,
WCUI,0.053,0,-1.767,,,
WARM,0.015,0.029,-1.755,,,
ESRT,233.946,1693.943,165.965,0.831,,
FRAK,,,,,,
FAUS,,,,,,
FKU,,,,,,
NFTY,,,,,,
