fyear,tic,gsector,ggroup,gind,gsubind,naics,sic,spcsrc,at,act,invt,lt,lct,ap,teq,re,sale,cogs,xopr,ni,oancf,ivncf,fincf
2018,ADI,45,4530,453010,45301020,334413,3674,B+,20449.779,2112.126,586.76,9461.239,1406.138,260.919,10988.54,5644.624,6200.942,1597.479,3433.227,1495.432,2442.361,-313.998,-2358.042
2019,ADI,45,4530,453010,45301020,334413,3674,B+,21392.641,1985.126,609.886,9683.453,1508.632,225.27,11709.188,6711.454,5991.065,1595.105,3373.547,1363.011,2253.1,-293.186,-2126.794
2018,ANDR,45,4520,452030,45203020,334220,3663,C,1.519,1.196,0.213,1.951,0.4,0.087,-0.432,-79.191,1.465,0.336,2.258,-0.945,-0.994,-0.071,0.387
2019,ANDR,45,4520,452030,45203020,334220,3663,C,1.289,0.967,0.21,2.252,0.41,0.088,-0.963,-79.74,1.895,0.461,2.295,-0.549,-0.334,-0.017,0.2
2018,ANDE,30,3010,301010,30101020,424510,5150,B-,2392.003,1023.198,690.804,1515.239,833.35,462.535,876.764,641.13,3045.382,2653.08,2904.434,41.484,-35.519,-185.993,209.186
2019,ANDE,30,3010,301010,30101020,424510,5150,B-,3900.741,1945.342,1170.536,2705.086,1439.919,873.081,1195.655,635.456,8170.191,7506.133,7933.638,18.307,348.562,-325.032,8.707
2018,NBR,10,1010,101010,10101010,213111,1381,C,7853.944,1593.563,165.587,5103.618,832.077,392.843,2750.326,621.517,3057.619,1976.974,2308.882,-640.948,325.773,-367.088,155.629
2019,NBR,10,1010,101010,10101010,213111,1381,C,6760.658,1248.666,176.341,4710.493,656.548,295.159,2050.165,-116.563,3043.383,1929.331,2243.647,-702.885,684.558,-355.856,-331.573
2018,APA,10,1010,101020,10102020,2111,1311,B-,21582,2687,401,12770,2201,709,8812,-2044,7331,2390,3110,40,3777,-3944,-787
2019,APA,10,1010,101020,10102020,2111,1311,B-,18107,1961,502,13642,1855,695,4465,-5585,6280,4760,5352,-3553,2867,-3446,112
2018,APOG,20,2010,201020,20102010,332321,3442,B+,1068.168,371.898,165.835,571.851,227.512,72.219,496.317,335.47,1402.637,1071.972,1296.112,45.694,96.423,-53.696,-32.326
2019,APOG,20,2010,201020,20102010,332321,3442,B+,1128.991,381.91,182.012,612.213,276.857,69.056,516.778,353.948,1387.439,1032.38,1263.491,61.914,107.262,-47.038,-74.514
2018,AEP1,55,5510,551010,55101010,2211,4911,,12290.5,698.7,161.4,8284.4,1354,263.8,4006.1,1917,2967.5,2055.6,2055.6,367.8,846.6,-769.4,-66.6
2019,AEP1,55,5510,551010,55101010,2211,4911,,12768.3,700.6,254.9,8595.9,1226,307.8,4172.4,2083.3,2924.7,1967.7,1967.7,306.3,661.4,-837.4,173
2018,AAPL,45,4520,452020,45202030,334220,3663,A-,365725,131339,3956,258578,116866,55888,107147,66946,265359,152853,183794,59531,77434,16066,-87876
2019,AAPL,45,4520,452020,45202030,334220,3663,A-,338516,162819,4106,248028,105718,46236,90488,45314,260174,149235,183697,55256,69391,45896,-90976
2018,AMAT,45,4530,453010,45301010,333242,3559,A,17773,10747,3722,10934,4068,996,6839,20749,17253,8998,11995,3313,3787,571,-5928
2019,AMAT,45,4530,453010,45301010,333242,3559,A,19024,10206,3474,10810,4447,958,8214,24206,14608,7859,10873,2706,3247,-443,-3115
2018,EPAC,20,2010,201060,20106020,333132,3533,B-,1481.338,660.9,156.356,922.626,330.961,130.838,558.712,992.71,1182.611,746.359,1036.703,-21.648,106.093,-62.751,-17.993
2019,EPAC,20,2010,201060,20106020,333132,3533,B-,1124.274,730.325,77.187,823.095,300.401,76.914,301.179,743.794,654.758,348.994,558.225,-249.145,53.845,11.046,-99.517
2018,TREC,15,1510,151010,15101010,324110,2911,B-,329.968,55.232,18.136,144.807,29.491,19.106,185.161,124.123,287.932,246.496,269.572,-2.332,19.895,-19.871,3.683
2019,TREC,15,1510,151010,15101010,324110,2911,B-,301.819,84.09,15.481,130.376,28.635,14.603,171.443,109.149,258.959,205.083,229.469,-14.974,25.121,-6.031,-19.68
2018,AOXY,60,6010,601020,60102020,531120,6512,C,0.688,0.055,0,0.38,0.297,0.001,0.308,-20.669,0.04,0.018,0.018,0.007,0.035,0,-0.033
